file_id,filepath
0,src/vs/workbench/contrib/inlineChat/browser/inlineChatController.ts
1,src/vs/workbench/contrib/chat/browser/chatInputPart.ts
2,src/vs/workbench/contrib/chat/test/browser/chatEditingService.test.ts
3,src/vs/workbench/contrib/chat/browser/agentSessions/agentSessionsView.ts
4,src/vs/workbench/contrib/chat/browser/languageModelToolsService.ts
5,src/vs/workbench/contrib/chat/test/common/promptSyntax/promptFileLocations.test.ts
6,src/vs/workbench/contrib/chat/browser/chatAccessibilityProvider.ts
7,src/vs/platform/terminal/common/capabilities/commandDetectionCapability.ts
8,src/vs/workbench/contrib/scm/browser/scmViewPane.ts
9,src/vs/workbench/contrib/terminalContrib/suggest/browser/terminalSuggestAddon.ts
10,src/vs/workbench/contrib/chat/browser/chatContentParts/toolInvocationParts/chatTerminalToolProgressPart.ts
11,src/vs/workbench/contrib/chat/browser/chatManagement/chatManagementEditorInput.ts
12,src/vs/workbench/contrib/terminalContrib/chat/browser/terminalChatService.ts
13,src/vs/workbench/contrib/preferences/browser/settingsEditor2.ts
14,src/vs/workbench/contrib/terminalContrib/chatAgentTools/test/electron-browser/runInTerminalTool.test.ts
15,src/vs/workbench/contrib/chat/browser/agentSessions/agentSessionViewModel.ts
16,src/vs/workbench/contrib/chat/browser/agentSessions/media/agentsessionsviewer.css
17,src/vs/workbench/contrib/chat/browser/agentSessions/agentSessionsViewer.ts
18,src/vs/workbench/contrib/preferences/browser/settingsSearchMenu.ts
19,src/vs/workbench/contrib/chat/browser/chatEditing/chatEditingModifiedFileEntry.ts
20,src/vs/workbench/contrib/chat/common/languageModelToolsService.ts
21,src/vs/workbench/contrib/mcp/browser/mcpCommands.ts
22,src/vs/workbench/contrib/chat/common/promptSyntax/config/promptFileLocations.ts
23,src/vs/editor/contrib/hover/browser/hover.css
24,src/vs/workbench/contrib/chat/browser/chatContentParts/toolInvocationParts/chatToolConfirmationSubPart.ts
25,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/tools/monitoring/outputMonitor.ts
26,src/vs/workbench/contrib/chat/common/chatServiceImpl.ts
27,src/vs/workbench/contrib/inlineChat/browser/media/inlineChat.css
28,src/vs/workbench/contrib/comments/browser/commentsController.ts
29,src/vs/workbench/contrib/inlineChat/browser/inlineChatSessionService.ts
30,src/vs/workbench/contrib/chat/browser/chatSetup.ts
31,src/vs/workbench/contrib/terminalContrib/chatAgentTools/browser/executeStrategy/executeStrategy.ts
32,src/vs/workbench/contrib/chat/common/chatService.ts
33,src/vs/workbench/contrib/notebook/common/notebookEditorInput.ts
34,src/vs/workbench/contrib/chat/common/promptSyntax/languageProviders/promptValidator.ts
35,src/vs/workbench/contrib/chat/browser/chatContentParts/media/chatTerminalToolProgressPart.css
36,src/vs/workbench/contrib/chat/browser/chatEditing/chatEditingSession.ts
37,src/vs/editor/contrib/hover/browser/hoverCopyButton.ts
38,src/vs/workbench/contrib/terminalContrib/suggest/browser/terminalCompletionModel.ts
39,src/vs/workbench/contrib/codeEditor/browser/quickaccess/gotoLineQuickAccess.ts
40,src/vs/workbench/contrib/chat/browser/chatManagement/chatManagement.contribution.ts
41,src/vscode-dts/vscode.d.ts
42,extensions/terminal-suggest/src/fig/figInterface.ts
43,src/vs/workbench/contrib/chat/browser/chatStatus.ts
44,src/vs/platform/terminal/node/terminalProfiles.ts
